project,change_id,target,1_references_bug_tracker,2_author_success_rate,3_churn_log_size,5_deletion_ratio,6_file_count,8_avg_sentence_length,9_msg_complexity,10_has_security_impact,11_nlp_change_type,12_is_test_change,13_is_revert,14_modifies_dependencies,15_author_submission_count,16_author_trust_score,17_historical_file_prob,18_is_documentation_only,19_author_file_confidence,20_risk_module_coupling,21_file_extension_entropy,22_relation_depth,23_project_acceptance_rate,24_change_entropy,25_directory_depth,26_msg_readability_ease,27_msg_gunning_fog,28_has_gerrit_topic,29_has_subject_tag,31_test_code_ratio,32_config_change,33_desc_density,34_is_weekend,35_bug_heat,36_bug_severity,37_bug_comments,38_is_bot,full_text_dl,40_sem_vec_0,40_sem_vec_1,40_sem_vec_2,40_sem_vec_3,40_sem_vec_4,40_sem_vec_5,40_sem_vec_6,40_sem_vec_7,40_sem_vec_8,40_sem_vec_9,40_sem_vec_10,40_sem_vec_11,40_sem_vec_12,40_sem_vec_13,40_sem_vec_14
openstack/python-octaviaclient,Ibe75f412a077325e926366897dc505b6ab34dd6f,0,0,0.0,4.5643,0.6526,4,7.0,310,0,Bug Fix,0,0,1,2,0.020833,0.1739,0,0.0,3,3,0,0.0909,1.5552,1.25,50.67,5.66,1,0,0.2737,1,3.2292,1,0,0,0,0,"Update hacking for Python3

The repo is Python 3 now, so update hacking to version 3.0 which
supports Python 3.

Fix problems found.

Update local hacking checks for new flake8.

Remove check check_python3_no_iteritems since this repo is now python3
only.
[SEP]
FILES CHANGED:
test-requirements.txt (+1, -1)
octaviaclient/tests/unit/test_hacking.py (+0, -24)
octaviaclient/hacking/checks.py (+16, -35)
tox.ini (+16, -2)
",0.356644,-1.976431,0.198479,-0.181343,-0.38873,-0.157996,-0.355597,0.330796,-0.460978,0.351998,-0.53492,-0.395285,-0.205945,0.351701,0.277371
openstack/octavia,I8626c0338d4ad7d11bf5d56b022136cb4513d37e,0,0,0.2308,3.8501,0.2609,10,8.0,104,0,Doc,0,0,0,13,0.001278,0.0,0,0.0,4,4,0,0.4956,2.1919,3.6,-23.36,18.2,0,0,0.0,1,2.2128,0,0,0,0,0,"Add availability-zone to loadbalancer object docs
[SEP]
FILES CHANGED:
api-ref/source/parameters.yaml (+18, -6)
api-ref/source/v2/examples/loadbalancer-create-request.json (+1, -0)
api-ref/source/v2/loadbalancer.inc (+4, -0)
api-ref/source/v2/availabilityzone.inc (+5, -5)
api-ref/source/v2/examples/loadbalancer-create-curl (+1, -1)
api-ref/source/v2/examples/loadbalancer-create-response.json (+1, -0)
api-ref/source/v2/examples/loadbalancer-full-create-response.json (+1, -0)
api-ref/source/v2/examples/loadbalancers-list-response.json (+1, -0)
api-ref/source/v2/examples/loadbalancer-full-create-request.json (+1, -0)
api-ref/source/v2/examples/loadbalancer-show-response.json (+1, -0)
",2.817509,0.954487,0.911492,1.173768,0.862686,-0.228706,0.869993,0.739578,0.951873,-0.530466,-0.403105,0.003668,-0.262692,0.253453,-0.193432
openstack/octavia-dashboard,Ie05e0d9989b26369aaa35ef32ce6140e5228902a,0,0,0.0,1.0986,0.5,1,3.25,364,0,Bug Fix,0,0,0,2,0.105263,0.0526,1,0.0,0,1,0,0.1111,0.0,0.0,36.51,11.56,1,0,0.0,0,121.3333,0,0,0,0,0,"Fix pyScss version in lower-constraints.txt

Horizon requires  pyScss>=1.3.7 [1] but lower-constraints.txt
in octavia-dashboard uses pyScss 1.3.4 which can cause the
failure in future. So this patch update pyScss version in
lower-constraints.txt to sync the change.

[1] https://review.opendev.org/#/c/715241/
[SEP]
FILES CHANGED:
lower-constraints.txt (+1, -1)
",-1.253357,1.649721,-0.355267,0.456684,-0.198389,-0.241787,0.267416,0.237839,-0.096204,0.472636,0.216242,-0.1934,-0.349807,0.11577,0.228832
openstack/octavia,Iedb7774bfb8d70ea307d6a513248e1fe2389fa34,0,0,0.0,5.204,0.1713,24,19.0,441,0,CI,0,0,0,1,0.00361,0.5455,0,0.0,7,7,0,0.4912,3.8195,3.75,36.16,16.72,1,0,0.442,1,2.4231,0,0,0,0,0,"Add ability to specify TLS cipher list for pools

Pools can now be each be assigned an OpenSSL cipher string with the
field tls_ciphers.  A new configuration option, default_pool_ciphers,
specifies what cipher string to use for new tls-enabled pools
if one is not explicitly specified at time of creation.

Depends-On: I77da6f14063877af0077f2c12df1aab5d5ead187
Story: 2006627
Task: 37172
[SEP]
FILES CHANGED:
api-ref/source/v2/examples/pools-list-response.json (+2, -1)
octavia/api/v2/types/pool.py (+4, -0)
api-ref/source/v2/examples/pool-update-curl (+1, -1)
octavia/common/config.py (+4, -0)
octavia/tests/common/sample_data_models.py (+2, -1)
releasenotes/notes/pool-ciphers-73a347942e31788b.yaml (+7, -0)
etc/octavia.conf (+6, -0)
octavia/tests/unit/common/sample_configs/sample_configs_combined.py (+15, -6)
octavia/common/jinja/haproxy/combined_listeners/jinja_cfg.py (+2, -0)
api-ref/source/v2/examples/pool-show-response.json (+2, -1)
api-ref/source/v2/examples/pool-create-curl (+1, -1)
octavia/tests/unit/api/drivers/test_utils.py (+0, -8)
octavia/common/jinja/haproxy/combined_listeners/templates/macros.j2 (+7, -2)
api-ref/source/v2/pool.inc (+6, -0)
octavia/db/models.py (+1, -0)
octavia/db/prepare.py (+2, -0)
api-ref/source/v2/examples/pool-update-request.json (+2, -1)
api-ref/source/v2/examples/pool-create-request.json (+2, -1)
octavia/tests/functional/db/test_repositories.py (+7, -5)
octavia/common/data_models.py (+2, -1)
api-ref/source/v2/examples/pool-update-response.json (+2, -1)
api-ref/source/v2/examples/pool-create-response.json (+2, -1)
octavia/db/migration/alembic_migrations/versions/fbd705961c3a_add_pool_ciphers_column.py (+35, -0)
octavia/tests/unit/common/jinja/haproxy/combined_listeners/test_jinja_cfg.py (+36, -0)
",-1.631849,-0.397267,-0.438167,0.023569,0.947769,0.000171,-0.006326,0.022164,0.928173,0.522929,-0.017579,-0.087561,0.171532,0.211897,-0.061537
openstack/octavia-dashboard,I3668f3dc5d3eb6a288994386294cc018035540c8,1,0,0.75,1.6094,0.5,2,13.67,297,0,Feature,0,0,0,16,0.012039,0.3333,0,0.25,7,2,0,0.1,1.0,6.5,65.03,12.3,0,0,0.0,0,59.4,0,0,0,0,0,"Add missing fields for HTTPS health monitors

Some fields (http method, expected codes, url path) are missing in
health monitor form when type is HTTPS.
These are valid parameters for HTTP and HTTPS health monitors.

Story: 2007512
Task: 39292
[SEP]
FILES CHANGED:
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/monitor/monitor.html (+1, -1)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/model.service.js (+1, -1)
",0.009273,-1.03484,-0.652308,0.570709,0.217427,0.350125,-0.667803,-0.023369,0.449068,0.120378,-0.344274,-0.138548,0.693219,0.296909,-0.550144
openstack/python-octaviaclient,I2f4d7644588316c30e639dcb093c5638b5b5526c,0,0,0.0,3.4012,0.8621,3,8.5,353,0,Feature,0,0,1,3,0.015707,0.05,0,0.0,1,3,0,0.087,1.3142,0.33,52.23,10.46,1,0,0.0,0,11.7667,1,0,0,0,0,"Cleanup py27 support

Make a few cleanups:
- Remove python 2.7 stanza from setup.py
- Add requires on python >= 3.6 to setup.cfg so that pypi and pip
  know about the requirement
- Remove obsolete section from setup.cfg
- Update classifiers
- Update requirements, no need for python_version anymore
[SEP]
FILES CHANGED:
setup.py (+0, -9)
doc/requirements.txt (+1, -2)
setup.cfg (+3, -14)
",-0.49991,-0.724149,-0.02535,0.351497,0.299946,-0.285204,-0.295182,-0.02598,-0.67276,0.437744,-0.5782,-0.292251,0.32006,0.79429,0.32263
openstack/python-octaviaclient,Ida05b7a07c5a9adf81c95be1fe44e32b82793303,0,0,0,3.6889,0.1282,6,33.0,254,0,CI,0,0,0,0,0.0,0.25,0,0.0,5,2,0,0.0833,2.0217,3.5,6.7,24.11,0,0,0.4359,1,6.35,0,0,0,0,0,"Add the ability to specify the cipher list for a listener

Added an optional argument --tls-ciphers for passing
an OpenSSL cipher string into the octavia commandline
client

Story: 2006627
Task: 37176
[SEP]
FILES CHANGED:
octaviaclient/tests/unit/osc/v2/constants.py (+1, -0)
octaviaclient/tests/unit/osc/v2/test_listener.py (+12, -4)
octaviaclient/osc/v2/constants.py (+2, -1)
octaviaclient/osc/v2/listener.py (+12, -0)
octaviaclient/osc/v2/utils.py (+1, -0)
releasenotes/notes/add-ability-set-listener-cipher-list-fe379d0d0821ed42.yaml (+6, -0)
",0.534155,-1.598496,-0.618653,0.009687,-0.104682,-0.18806,-0.604584,0.297723,0.766825,-0.059934,-0.254471,0.22674,0.031174,0.233499,0.149495
openstack/python-octaviaclient,Ifd2964b17e8b5704e79a9ef0d8cd3000f637a154,0,0,0.0,3.7136,0.175,6,39.0,283,0,CI,0,0,0,1,0.025,0.2,0,0.0,5,2,0,0.08,2.1559,3.5,15.4,24.83,0,0,0.45,1,6.9024,0,0,0,0,0,"Add the ability to specify the cipher list for a pool

Added an optional argument --tls-ciphers for passing
an OpenSSL cipher string into the octavia commandline
client when creating or updating a pool

Story: 2006627
Task: 37178
[SEP]
FILES CHANGED:
releasenotes/notes/add-ability-set-pool-cipher-list-70128f983506fbdb.yaml (+6, -0)
octaviaclient/tests/unit/osc/v2/constants.py (+2, -1)
octaviaclient/osc/v2/constants.py (+2, -1)
octaviaclient/osc/v2/utils.py (+1, -0)
octaviaclient/tests/unit/osc/v2/test_pool.py (+10, -5)
octaviaclient/osc/v2/pool.py (+12, -0)
",0.357978,-1.517924,-0.569045,0.242562,0.031887,-0.088077,-0.472824,0.27506,0.777906,-0.11252,-0.335973,0.282362,0.082718,0.195503,0.139094
openstack/oslo.cache,Ib84b3db83e8c50c7929874c63177c94f459a1a2c,0,0,0,3.7136,0.0,3,9.2,382,0,CI,0,0,0,0,0.0,0.0,0,0.0,4,2,0,0,0.7219,2.67,20.94,15.85,1,0,0.8,0,9.3171,0,0,0,0,0,"Adding functional tests for memcache_pool backend

Introducing the needed changes to functional tests to run
them against the memcache_pool backend.

These changes introduced a new zuul job related to memcache
to isolate this part during CI and get clear outputs.

Co-authored-by: Radosław Piliszek <radoslaw.piliszek@gmail.com>
[SEP]
FILES CHANGED:
oslo_cache/tests/functional/memcache_pool/__init__.py (+0, -0)
oslo_cache/tests/functional/memcache_pool/test_cache_backend.py (+32, -0)
.zuul.yaml (+8, -0)
",-0.995879,-0.374046,-0.638862,0.571372,-0.326667,-0.099095,0.266601,0.298655,-0.15422,-0.223589,0.459461,0.181524,0.156255,0.114227,-0.164126
openstack/octavia,I32b6561c78c153a4b7e73b1a4b83e045fbe97fb6,0,0,0.4648,5.6664,0.0104,14,14.75,387,0,Feature,0,0,0,71,0.003093,0.6667,0,0.3099,6,4,0,0.487,3.0274,3.71,47.04,14.71,1,0,0.5382,1,1.3391,0,0,0,0,0,"Add amphora delete API

This patch adds an amphora delete API. It can be used to delete
extra ""spare"" amphora after the feature has been disabled.

A followup patch will be required for the amphorav2 path as the
amphorav2 failover patch, which is required for the amphora delete
flow, has not yet merged.

Story: 2008014
Task: 40666
[SEP]
FILES CHANGED:
api-ref/source/v2/examples/amphora-delete-curl (+1, -0)
octavia/tests/functional/api/test_root_controller.py (+2, -1)
octavia/tests/functional/api/v2/test_amphora.py (+96, -0)
octavia/tests/functional/db/test_repositories.py (+23, -0)
octavia/tests/unit/controller/worker/v1/test_controller_worker.py (+28, -0)
releasenotes/notes/add-amphora-delete-69badba140f7b228.yaml (+4, -0)
octavia/controller/worker/v1/controller_worker.py (+20, -0)
octavia/db/repositories.py (+21, -0)
api-ref/source/v2/amphora.inc (+43, -0)
octavia/api/root_controller.py (+4, -1)
octavia/api/v2/controllers/amphora.py (+27, -1)
octavia/policies/amphora.py (+7, -0)
octavia/controller/queue/v1/endpoints.py (+4, -0)
octavia/tests/unit/controller/queue/v1/test_endpoints.py (+5, -0)
",-0.598737,-1.749478,-0.330892,0.15032,-0.125867,-0.079295,-0.12356,0.351916,0.143221,-0.027387,0.052311,0.505652,-0.128311,0.403669,0.034656
openstack/python-octaviaclient,I415d2438ddfe994631ef02637c216f4579dd81a1,0,0,0.4583,4.625,0.0198,8,4.25,197,0,Feature,0,0,0,72,0.003098,0.25,0,0.1146,5,3,0,0.0769,2.2905,2.88,-11.47,22.88,0,0,0.4455,1,1.9314,0,0,0,0,0,"Add amphora delete command

This patch adds the ""openstack loadbalancer amphora delete"" command.

Depends-On: https://review.opendev.org/718293
[SEP]
FILES CHANGED:
releasenotes/notes/add-amphora-delete-0fe5f2097da92b5c.yaml (+4, -0)
octaviaclient/api/v2/octavia.py (+14, -0)
octaviaclient/tests/unit/osc/v2/test_amphora.py (+36, -0)
octaviaclient/osc/v2/amphora.py (+31, -0)
octaviaclient/osc/v2/constants.py (+1, -0)
octaviaclient/osc/v2/utils.py (+3, -2)
setup.cfg (+1, -0)
octaviaclient/tests/unit/api/test_octavia.py (+9, -0)
",-0.228843,1.905641,-1.36574,0.339556,-0.614195,0.567691,-0.232382,-0.103048,0.408857,-0.558922,-0.021518,0.452236,-0.105511,-0.037765,0.060354
openstack/octavia-dashboard,Icead9106b06ae7610301a121e51dc5fe1a0e4056,0,0,0.0,5.2364,0.0695,15,9.75,308,0,CI,0,0,0,1,0.022222,0.5,0,0.0,7,4,0,0.1818,3.2418,6.13,32.08,12.11,1,0,0.0,1,1.6383,0,0,0,0,0,"Add ciphers options for listeners and pools

Added an option to specify the TLS ciphers used by listeners
and pools. It is specifed through a string in OpenSSL syntax.

Co-authored-by: Steven Glasford <stevenglasford@gmail.com>
Story: 2006627
Task: 37193
[SEP]
FILES CHANGED:
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/listener/listener.html (+17, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/pool/pool.controller.js (+45, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/pool/pool.controller.spec.js (+40, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/pools/details/detail.html (+1, -1)
octavia_dashboard/static/dashboard/project/lbaasv2/listeners/listeners.module.js (+2, -1)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/listener/listener.controller.js (+1, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/model.service.spec.js (+2, -2)
octavia_dashboard/static/dashboard/project/lbaasv2/listeners/details/detail.html (+2, -1)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/model.service.js (+7, -2)
releasenotes/notes/add-ciphers-options-for-listeners-and-pools-8440eaf5a551c44c.yaml (+5, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/pool/pool.html (+18, -1)
octavia_dashboard/static/dashboard/project/lbaasv2/pools/pools.module.js (+2, -1)
octavia_dashboard/api/rest/lbaasv2.py (+12, -4)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/listener/listener.help.html (+10, -0)
octavia_dashboard/static/dashboard/project/lbaasv2/workflow/pool/pool.help.html (+10, -0)
",-0.943718,0.407868,-1.31497,0.751215,-0.179936,0.45354,-0.469677,-0.088808,0.412218,0.169164,0.22284,0.28173,0.513862,0.201312,-0.391596
openstack/python-octaviaclient,Iecc1ba5dc5f27bc160bf39fc0c6fa91f89405093,0,0,0.0,1.0986,0.5,1,6.33,332,0,CI,1,0,0,6,0.24,0.0,0,0.0,1,1,0,0.0741,0.0,1.0,13.4,12.01,1,0,1.0,1,110.6667,0,0,0,0,0,"Add Python3 victoria unit tests

This is an automatically generated patch to ensure unit testing
is in place for all the of the tested runtimes for victoria.

See also the PTI in governance [1].

[1]: https://governance.openstack.org/tc/reference/project-testing-interface.html
[SEP]
FILES CHANGED:
zuul.d/projects.yaml (+1, -1)
",-0.94391,0.369599,-0.731212,0.704677,-0.889466,0.12589,-0.305646,0.182486,0.2805,0.466785,-0.418959,0.216836,-0.147541,0.033533,-0.093632
openstack/oslo.utils,I6f3456802fd432580dd27d9c03bde21759c4a3ae,1,0,0.0,1.0986,0.5,1,6.33,332,0,CI,0,0,0,7,0.259259,0.0,0,0.0,0,1,0,0,0.0,0.0,13.4,12.01,1,0,0.0,0,110.6667,0,0,0,0,0,"Add Python3 victoria unit tests

This is an automatically generated patch to ensure unit testing
is in place for all the of the tested runtimes for victoria.

See also the PTI in governance [1].

[1]: https://governance.openstack.org/tc/reference/project-testing-interface.html
[SEP]
FILES CHANGED:
.zuul.yaml (+1, -1)
",-0.943911,0.369599,-0.731211,0.704677,-0.889466,0.12589,-0.305646,0.182486,0.2805,0.466785,-0.418959,0.216836,-0.147541,0.033533,-0.093632
openstack/octavia,I831b0b48d719397c14d80f8ebcbad997c50c7795,1,0,0.2143,2.6391,0.0769,2,16.25,440,0,Bug Fix,0,0,0,14,0.00137,0.0,0,0.0,5,2,0,0.4828,0.6194,3.5,49.78,13.27,1,0,0.0,1,31.4286,0,0,0,0,0,"Fix py3 amphora-agent cert-rotation type bug

Flask's stream always returns bytes, file write always takes string.
This causes py3 amps to return 500 on cert rotation AND wipe out the
certificate, so the amphora are no longer controllable and go to ERROR
state. Anyone running py3 amps prior to this patch will experience
amphorae breaking on a timer due to housekeeping cert rotation!
[SEP]
FILES CHANGED:
releasenotes/notes/amp-agent-py3-cert-upload-binary-74e0ab35c5a85c68.yaml (+11, -0)
octavia/amphorae/backends/agent/api_server/certificate_update.py (+1, -1)
",-0.560967,-1.887059,0.115616,0.232779,0.071563,-0.411698,0.353885,-0.102653,-0.338331,0.253221,0.189776,-0.277846,0.531089,-0.240185,0.126672
openstack/octavia,I49b587cf748996658859667485400307205d209b,0,0,0.1111,2.9957,0.3684,2,6.0,233,0,Bug Fix,0,0,0,9,0.002803,0.5,0,0.0556,4,2,0,0.4872,0.9819,2.5,10.4,19.07,0,0,0.0,0,11.65,0,0,0,0,0,"Run taskflow jobboard conductor conditionally

Run taskflow jobboard conductor only if amphorav2 provider is
enabled.

Fixes devstack plugin.sh conditions for amphorav2 provider.
[SEP]
FILES CHANGED:
devstack/plugin.sh (+4, -4)
octavia/controller/queue/v2/consumer.py (+8, -3)
",0.259149,-0.519077,-0.201892,0.705188,0.718921,-0.384181,-0.003412,0.677622,0.138378,-0.297328,0.040931,0.48572,-0.184724,-0.334401,0.133738
openstack/octavia,Ib4944fb44fea53c8dd1908b7f264d45a84884639,0,0,0.4521,1.3863,1.0,3,4.17,267,0,Feature,0,0,1,73,0.003128,0.0556,1,0.0251,1,1,0,0.4831,1.585,0.33,2.95,11.27,1,0,0.0,0,66.75,0,0,0,0,0,"Remove Babel requirement

Babel is no longer a requirement for OpenStack projects.
Let's remove it and save some disk space.

See also
http://lists.openstack.org/pipermail/openstack-discuss/2020-April/014227.html
[SEP]
FILES CHANGED:
diskimage-create/requirements.txt (+0, -1)
requirements.txt (+0, -1)
lower-constraints.txt (+0, -1)
",-1.307863,2.584545,-1.753914,0.96205,-0.986117,0.411865,0.079975,-0.649417,-0.321467,0.108333,-0.308731,-0.162987,0.245248,0.074283,-0.031816
openstack/octavia,Ic33d9b9a256490ae1b048cdfd2475d6340509fdb,0,0,0.0,5.9135,0.1192,32,6.82,559,0,CI,0,0,0,2,0.004367,0.5,0,0.0,7,7,0,0.479,3.9805,3.66,52.15,11.26,1,0,0.4309,1,1.5108,0,0,0,0,0,"Add TLS version configuration for listeners

Add field tls_versions to listeners for restricting TLS versions used.
This is a list of versions to be used.
Available values (as defined in octavia-lib):
SSLv3, TLSv1, TLSv1.1, TLSv1.2, TLSv1.3

Add default_listener_tls_versions in octavia.conf.

Note that at this time TLS 1.3 ciphersuites are not impelemented,
so any TLS 1.3 connections will use haproxy's default ciphers
instead of what's specified by tls_ciphers.

Story: 2006733
Task: 37170
Task: 37169
[SEP]
FILES CHANGED:
api-ref/source/parameters.yaml (+16, -0)
api-ref/source/v2/examples/listener-update-curl (+1, -1)
api-ref/source/v2/examples/listener-update-request.json (+2, -1)
octavia/common/config.py (+5, -1)
octavia/tests/unit/common/test_validations.py (+14, -0)
octavia/tests/functional/api/test_root_controller.py (+2, -1)
octavia/tests/common/sample_data_models.py (+3, -2)
octavia/common/jinja/haproxy/combined_listeners/templates/haproxy.cfg.j2 (+1, -1)
etc/octavia.conf (+5, -0)
octavia/tests/unit/common/sample_configs/sample_configs_combined.py (+6, -3)
octavia/common/validate.py (+12, -0)
octavia/common/jinja/haproxy/combined_listeners/jinja_cfg.py (+7, -4)
octavia/common/constants.py (+11, -0)
api-ref/source/v2/examples/listener-create-response.json (+2, -1)
octavia/tests/functional/api/v2/test_load_balancer.py (+4, -1)
api-ref/source/v2/examples/listener-update-response.json (+2, -1)
octavia/tests/unit/api/drivers/test_utils.py (+0, -7)
octavia/common/jinja/haproxy/combined_listeners/templates/macros.j2 (+22, -4)
api-ref/source/v2/examples/listener-show-response.json (+2, -1)
octavia/db/migration/alembic_migrations/versions/e5493ae5f9a7_add_listener_tls_versions_column.py (+35, -0)
octavia/db/models.py (+2, -0)
octavia/api/v2/types/listener.py (+9, -0)
api-ref/source/v2/examples/listener-create-request.json (+2, -1)
api-ref/source/v2/listener.inc (+6, -0)
api-ref/source/v2/examples/listener-create-curl (+1, -1)
octavia/db/prepare.py (+10, -5)
api-ref/source/v2/examples/listeners-list-response.json (+2, -1)
octavia/common/data_models.py (+2, -1)
octavia/api/root_controller.py (+5, -2)
releasenotes/notes/tls-versions-listeners-59cecde77e0238a0.yaml (+14, -0)
octavia/tests/unit/common/jinja/haproxy/combined_listeners/test_jinja_cfg.py (+112, -4)
octavia/api/v2/controllers/listener.py (+8, -0)
",-2.618389,0.04262,0.383556,0.611442,0.557856,-0.086,-0.679374,0.443273,0.314814,0.491344,0.007305,-0.075465,-0.190001,0.191391,-0.022566
openstack/octavia,Ia6d3f40ae1b9b352492162513c9262748ee67e6f,1,0,0,3.4657,0.0968,3,36.0,284,0,Bug Fix,0,0,0,0,0.0,1.0,0,0.0,6,2,0,0.475,1.1357,4.0,15.2,25.51,0,0,0.7097,1,8.875,0,0,0,0,0,"Fix healthmanager not update amphora health when LB disable

When disable a loadbalancer have listener, the Heath Manager not update
amphora heath make it keep failover after heartbeat_timeout end time

Story: 2007587
Task: 39521
[SEP]
FILES CHANGED:
releasenotes/notes/Fix-healthmanager-not-update-amphora-health-when-LB-disabled-46a4fb295c6d0850.yaml (+6, -0)
octavia/tests/unit/controller/healthmanager/health_drivers/test_update_db.py (+20, -2)
octavia/controller/healthmanager/health_drivers/update_db.py (+2, -1)
",1.537047,-1.832219,-0.415607,-0.557156,-0.198228,-0.048444,0.443892,-0.064331,-0.007108,-0.837696,0.343034,-0.425657,-0.08647,-0.151776,-0.056054
openstack/python-octaviaclient,Icb3171a7722e3b3028a108345506e907132bb856,0,0,0.0,3.9703,0.1154,6,35.0,307,0,CI,0,0,0,2,0.025,0.2,0,0.0,5,2,0,0.0714,2.002,3.5,4.53,28.86,0,0,0.4615,1,5.7925,0,0,0,0,0,"Add the ability to specify TLS protocols for a listener

Updated the listener create and set parameters to add
an argumet ""--tls-version"" for passing TLS protocol versions

Story: 2006733
Task: 37174
Depends-On: Ic33d9b9a256490ae1b048cdfd2475d6340509fdb
[SEP]
FILES CHANGED:
octaviaclient/tests/unit/osc/v2/constants.py (+2, -1)
octaviaclient/tests/unit/osc/v2/test_listener.py (+17, -4)
releasenotes/notes/add-tls-version-support-for-listeners-4a6a661af5f9de9a.yaml (+6, -0)
octaviaclient/osc/v2/constants.py (+2, -1)
octaviaclient/osc/v2/listener.py (+18, -0)
octaviaclient/osc/v2/utils.py (+1, -0)
",-0.620285,-0.846806,-1.290111,-0.953501,0.7914,-0.29563,0.278726,0.129763,0.767467,0.248192,-0.356471,-0.126162,0.362116,0.433115,-0.007058
openstack/octavia,I6f53ea5d012ab64b985d981ecd1b1967e18e4e81,0,0,0.4459,3.4965,0.25,5,4.33,362,0,Bug Fix,0,0,0,74,0.00317,1.0,0,0.4459,4,5,0,0.4793,2.0981,2.4,-3.64,15.07,1,0,0.0,1,10.9697,0,0,0,0,0,"Fix building Ubuntu 20.04 focal amphorae

Ubuntu 20.04 is a ""Tested Runtime"" for the Victoria release[1].
This patch updated our diskimage-create script and elements to
support building a amphora image that uses Ubuntu 20.04 (focal).

[1] https://governance.openstack.org/tc/reference/runtimes/victoria.html
[SEP]
FILES CHANGED:
elements/amphora-agent/package-installs.yaml (+7, -1)
elements/amphora-agent/pkg-map (+11, -2)
diskimage-create/diskimage-create.sh (+1, -3)
elements/amphora-agent/post-install.d/10-enable-network-scripts (+4, -0)
elements/amphora-agent/install.d/amphora-agent-source-install/75-amphora-agent-install (+1, -2)
",-0.612158,0.684666,-0.858811,0.492899,-0.444857,0.003412,0.557838,0.775968,0.074369,0.350659,0.139172,0.257799,0.098833,0.07963,-0.211072
openstack/octavia,I3c1e65466fa22747e66b25ea09dd518fcc311723,0,0,0,0.6931,0.0,1,7.8,298,0,CI,0,0,0,0,0.0,0.0455,0,0.0,0,1,0,0.4754,0.0,0.0,42.73,11.33,1,0,0.0,0,149.0,0,0,0,0,0,"Add py38 package metadata

Now that we are running the Victoria tests that include a
voting py38, we can now add the Python 3.8 metadata to the
package information to reflect that support.
[SEP]
FILES CHANGED:
setup.cfg (+1, -0)
",0.988832,-1.319162,0.099929,0.960144,0.011964,0.109736,0.244804,0.139285,-0.042443,0.562931,-0.801735,0.660798,-0.457272,-0.127504,0.387303
openstack/octavia,I2372178351e961eeed5a819f39e75d54ba148798,0,0,0.0,2.3979,0.1,1,16.5,646,0,CI,0,0,0,1,0.5,0.1667,0,0.0,0,1,0,0.4715,0.0,0.0,55.07,11.45,1,0,0.0,1,58.7273,0,0,0,0,0,"Change default tox envs from python37 to python3

Python versions supported by OpenStack change over time, and for minor
versions of Python 3 it is tedious to keep this file updated.

Since this does not impact zuul jobs in any way, nor prevent local
tests against py37, it should be safe to simply make this more easily
compatible for users that don't care about the specific Python versions
and just need basic tests to run.

The *only* thing this does is changes the default versions tested if none
are explicitly provided with `-e`.
[SEP]
FILES CHANGED:
tox.ini (+9, -1)
",-0.75715,-1.951323,0.622109,0.418801,-0.422801,-0.340067,0.248548,-0.214914,-0.54223,0.673422,-0.322551,0.021223,0.158726,-0.144078,-0.027434
openstack/oslo.policy,Ifcfc88a67b038528f03756d550e1ddf8726cb37a,1,0,0,6.3953,0.311,11,7.5,154,0,Doc,0,0,0,0,0.0,0.0,0,0.0,4,2,0,0,2.8479,3.27,13.1,19.0,1,0,0.0,0,0.2571,0,0,0,0,0,"docs: Add separate man page for each CLI tool
[SEP]
FILES CHANGED:
doc/source/cli/oslopolicy-list-redundant.rst (+52, -0)
doc/source/cli/common/default-opts.rst (+19, -0)
doc/source/cli/common/generator-opts.rst (+3, -0)
doc/source/cli/index.rst (+7, -185)
doc/source/cli/oslopolicy-checker.rst (+94, -0)
doc/source/cli/common/rule-opts.rst (+8, -0)
doc/source/conf.py (+32, -1)
doc/source/cli/oslopolicy-policy-generator.rst (+67, -0)
doc/source/cli/oslopolicy-sample-generator.rst (+68, -0)
doc/source/cli/common/enforcer-opts.rst (+4, -0)
doc/source/cli/oslopolicy-validator.rst (+58, -0)
",3.1942,-0.296771,2.014753,0.360655,-0.023248,0.238801,0.375452,0.327529,0.3098,0.167324,-0.766984,0.163976,0.100042,-0.100663,-0.247043
